source_permit_id,permit_type_class,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_confidence,match_warning
BU2025-03058,commercial_new_construction,2025-10-08,"4290 PAPA JOE HENDRICK BLVD CHARLOTTE, NC 28262",45981987420000,45981987420000,unmatched,no matching parcels_enriched.pin14
BU2025-03030,residential_new_construction,2025-10-06,"723 IRENE AVE KANNAPOLIS, NC 28083",56230477610000,56230477610000,unmatched,no matching parcels_enriched.pin14
BU2025-03027,residential_new_construction,2025-10-03,"7200 COUNTY LINE RD MT PLEASANT, NC 28124",55775486710000,55775486710000,unmatched,no matching parcels_enriched.pin14
BU2025-02988,residential_new_construction,2025-10-01,"277 CROWELL DR SW, LT# CONCORD, NC 28025",56207299380000,56207299380000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-02991,residential_new_construction,2025-10-01,"8159 THORNTON ST, AC# LOCUST, NC 28097",55763609970000,55763609970000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-02965,residential_new_construction,2025-09-30,"4224 PINE ST KANNAPOLIS, NC 28081",56048072250000,56048072250000,unmatched,no matching parcels_enriched.pin14
BU2025-02949,residential_new_construction,2025-09-29,"437 KINGFIELD DR SW, LT# CONCORD, NC 28027",55291466340000,55291466340000,unmatched,no matching parcels_enriched.pin14
BU2025-02936,residential_new_construction,2025-09-26,"325 LINCOLN ST SW A CONCORD, NC 28025",56209341120000,56209341120000,unmatched,no matching parcels_enriched.pin14
BU2025-02938,residential_new_construction,2025-09-26,"325 LINCOLN ST SW, LT# C CONCORD, NC 28025",56209340170000,56209340170000,unmatched,no matching parcels_enriched.pin14
BU2025-02886,residential_new_construction,2025-09-24,"2330 MONTFORD AVE NW, AC# CONCORD, NC 28027",56108751770000,56108751770000,unmatched,no matching parcels_enriched.pin14
BU2025-02851,commercial_new_construction,2025-09-22,"7455 VALOR PL NW CONCORD, NC 28027",45983900820000,45983900820000,unmatched,no matching parcels_enriched.pin14
BU2025-02852,commercial_new_construction,2025-09-22,"7455 VALOR PL NW CONCORD, NC 28027",45983900820000,45983900820000,unmatched,no matching parcels_enriched.pin14
BU2025-02856,residential_new_construction,2025-09-22,"161 SHAMROCK ST NE CONCORD, NC 28025",56219113570000,56219113570000,unmatched,no matching parcels_enriched.pin14
BU2025-02831,residential_new_construction,2025-09-19,"5051 MACON ST KANNAPOLIS, NC 28081",56035728560000,56035728560000,unmatched,no matching parcels_enriched.pin14
