official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149796937,56129223320000,2,1,0,0,1,1,1,1002500.0,2018-07-13,2019-02-22,2,residential_growth,major_growth,96.0,75.0,no_recent_activity
CFS-PARCEL-0149726932,45895553110000,2,1,0,0,1,1,1,961500.0,2012-07-17,2012-07-26,1,residential_growth,major_growth,96.0,83.0,no_recent_activity
CFS-PARCEL-0149726510,45891834630000,2,1,0,1,0,1,1,607151.0,2014-05-07,2022-07-12,2,residential_growth,major_growth,96.0,81.5,no_recent_activity
CFS-PARCEL-0149736374,46808222090000,2,0,1,0,1,1,1,601500.0,2015-10-01,2015-11-20,1,commercial_activity,major_growth,96.0,75.0,no_recent_activity
CFS-PARCEL-0149825819,56702201690000,2,1,0,0,1,1,1,581000.0,2019-04-05,2022-07-18,2,residential_growth,major_growth,96.0,78.0,no_recent_activity
CFS-PARCEL-0149758888,55193316550000,2,1,0,1,0,1,1,565000.0,2019-08-23,2019-10-04,1,residential_growth,major_growth,96.0,78.5,no_recent_activity
CFS-PARCEL-0149747770,55074620660000,2,1,0,1,0,1,1,505000.0,2017-05-04,2017-06-27,1,residential_growth,major_growth,96.0,78.5,no_recent_activity
CFS-PARCEL-0149810460,56221936070000,2,0,1,0,1,2,0,492962.0,2023-04-14,2023-04-19,1,commercial_activity,major_growth,96.0,92.0,recently_issued
CFS-PARCEL-0149755060,55171654560000,2,0,1,1,0,2,0,465000.0,2015-07-23,2023-04-20,2,commercial_activity,major_growth,96.0,87.5,recently_issued
CFS-PARCEL-0149826373,56701596890000,2,1,0,1,0,1,0,358954.48,2023-09-12,2024-07-16,2,residential_growth,major_growth,96.0,83.5,recently_issued
CFS-PARCEL-0149789896,56104958140000,2,1,0,1,0,1,0,284778.0,2022-05-20,2023-10-25,2,residential_growth,major_growth,96.0,85.5,active_construction
CFS-PARCEL-0149788979,56101915190000,2,1,0,0,1,1,0,279569.0,2022-04-22,2023-07-20,2,residential_growth,major_growth,96.0,75.0,recently_issued
CFS-PARCEL-0149799355,56135757040000,2,1,0,0,1,1,0,261000.0,2015-06-26,2023-03-01,2,residential_growth,major_growth,96.0,75.0,recently_issued
CFS-PARCEL-0149738806,46816803310000,2,1,0,1,0,1,0,238528.0,2022-06-06,2024-07-10,2,residential_growth,major_growth,96.0,85.5,active_construction
CFS-PARCEL-0149738570,46815767470000,2,1,0,1,0,1,0,228420.0,2023-09-07,2024-07-29,2,residential_growth,major_growth,96.0,85.5,active_construction
CFS-PARCEL-0149739523,46815850530000,2,1,0,1,0,1,0,228420.0,2023-11-06,2024-07-29,2,residential_growth,major_growth,96.0,85.5,active_construction
CFS-PARCEL-0149738301,46814758600000,2,1,0,1,0,1,0,228060.0,2023-12-08,2024-07-29,2,residential_growth,major_growth,96.0,85.5,active_construction
CFS-PARCEL-0149775029,55451864880000,2,1,0,0,1,1,0,210000.0,2021-02-17,2022-12-30,2,residential_growth,major_growth,96.0,79.0,no_recent_activity
CFS-PARCEL-0149727094,45897892120000,2,0,1,0,1,1,0,190000.0,2010-12-16,2022-04-07,2,commercial_activity,major_growth,96.0,75.0,no_recent_activity
CFS-PARCEL-0149738704,46815896520000,2,1,0,1,0,1,0,185850.0,2022-06-15,2023-10-03,2,residential_growth,major_growth,96.0,83.5,recently_issued
CFS-PARCEL-0149766175,55297501840000,2,1,0,1,0,1,0,177688.0,2023-03-24,2024-10-22,2,residential_growth,major_growth,96.0,85.5,active_construction
CFS-PARCEL-0149766644,55297532410000,2,1,0,1,0,1,0,172922.0,2023-07-25,2025-08-20,2,residential_growth,major_growth,96.0,81.5,recently_issued
CFS-PARCEL-0149758017,55192071530000,2,1,0,0,1,1,0,159000.0,2012-06-15,2025-12-30,2,residential_growth,major_growth,96.0,78.0,recently_issued
CFS-PARCEL-0149758722,55192072800000,2,1,0,0,1,1,0,159000.0,2012-06-15,2025-12-30,2,residential_growth,major_growth,96.0,78.0,recently_issued
