jurisdiction_name,zoning_code_raw,zoning_general_raw,zoning_type_raw,base_district_raw,conditional_raw,zoning_label_normalized,zoning_general_normalized,feature_count,total_area_acres
Midland,C 601-CZ,,C 601-CZ,,,C 601-CZ,unknown,1,4.16
Midland,MS,,MS,,,MS,unknown,1,63.33
Midland,PRD-CZ,,PRD-CZ,,,PRD-CZ,unknown,1,667.04
Midland,SFR-TNDO-CZ,,SFR-CU,,,SFR-TNDO-CZ,unknown,1,69.88
Midland,TNDO-CZ,,TNDO-CZ,,,TNDO-CZ,unknown,1,64.93
Mt. Pleasant,RM,,,,,RM,residential,41,504.64
Mt. Pleasant,RL,,,,,RL,residential,33,3299.47
Mt. Pleasant,RH,,,,,RH,residential,26,145.53
Mt. Pleasant,OI,,,,,OI,office,18,173.56
Mt. Pleasant,C-1,,,,,C-1,unknown,12,33.35
Mt. Pleasant,C-2,,,,,C-2,unknown,9,34.4
Mt. Pleasant,I-1,,,,,I-1,unknown,9,131.38
Mt. Pleasant,CC,,,,,CC,commercial,6,11.22
Mt. Pleasant,CZ-RH,,,,,CZ-RH,unknown,5,17.54
Mt. Pleasant,CZ-C-2,,,,,CZ-C-2,unknown,4,7.07
Mt. Pleasant,AG,,,,,AG,agricultural,3,759.16
Mt. Pleasant,CZ-O-I,,,,,CZ-O-I,unknown,3,12.55
Mt. Pleasant,CZ-R-M,,,,,CZ-R-M,unknown,3,47.82
Mt. Pleasant,CZ-AG,,,,,CZ-AG,unknown,1,34.19
Mt. Pleasant,RE,,,,,RE,residential,1,647.4
