official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,planning_boundary_type,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,has_multiple_zoning,has_multiple_zoning_jurisdictions,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149826778,149826778,56315599790000,review,CENTERGROVE,,Concord,Concord,etj,RM-1,residential,RM-1,2,2,0.488203,0.899063,Cabarrus County / Unincorporated,LDR,0.41086,0.077344,low,multi_jurisdiction_low_confidence,True,True,0,0.765531
CFS-PARCEL-0149820787,149820787,56230129480000,review,SOUTH CANNON BLVD,,Kannapolis,,,GC,commercial,GC,1,1,0.488822,0.488822,,,,,low,single_zone_low_confidence,False,False,0,0.032267
CFS-PARCEL-0149721458,149721458,132 0130000001,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,Kannapolis,etj,PD,residential,PD,4,1,0.49129,0.498444,Kannapolis,PD,0.0054,0.48589,low,multi_zone_low_confidence,True,False,3,69.552437
CFS-PARCEL-0149815736,149815736,56239291730000,review,CENTERGROVE,,Cabarrus County / Unincorporated,Concord,etj,LDR,residential,LDR,5,2,0.493948,1.0,Concord,RM-1,0.488035,0.005913,low,multi_jurisdiction_low_confidence,True,True,2,2.989339
CFS-PARCEL-0149785271,149785271,55543996010000,review,HWY 24 / 27,,Midland,,,R/MST,unknown,R/MST,6,2,0.495305,1.0,Midland,MS,0.30809,0.187215,low,multi_jurisdiction_low_confidence,True,True,2,25.213449
CFS-PARCEL-0149736849,149736849,46705957410000,trusted,SKYBROOK,SKYBROOK,Cabarrus County / Unincorporated,,,LDR,residential,LDR,1,1,0.497783,0.497783,,,,,low,single_zone_low_confidence,False,False,0,0.332193
CFS-PARCEL-0149822186,149822186,56407351330000,review,LAKE LYNN LODGE,,Cabarrus County / Unincorporated,,,LDR-SU,residential,LDR-SU,2,1,0.498982,0.996889,Cabarrus County / Unincorporated,AO,0.497908,0.001074,low,multi_zone_low_confidence,True,False,0,1.126077
CFS-PARCEL-0149802688,149802688,56202994070000,review,CABARRUS/MCGILL,,Concord,,,I-2,unknown,I-2,5,1,0.499371,1.0,Concord,C-2,0.466664,0.032707,low,multi_zone_low_confidence,True,False,2,24.078111
CFS-PARCEL-0149777275,149777275,55565363980000,review,REED GOLD MINE,,Cabarrus County / Unincorporated,,,AO,agricultural,AO,3,2,0.5006,1.0,Cabarrus County / Unincorporated,CR,0.499488,0.001112,low,multi_jurisdiction_low_confidence,True,True,1,233.261918
CFS-PARCEL-0149799339,149799339,56135532210000,review,NORTH 29A,,Kannapolis,,,GC,commercial,GC,2,1,0.500721,0.990378,Kannapolis,R8,0.489657,0.011064,low,multi_zone_low_confidence,True,False,0,1.314496
