subdivision,no_match_count,no_match_area_acres,subdivision_review_count,avg_area_acres
CHARLOTTE MOTORSPEEDWAY CONDOS,43,0.46,0,0.0108
CHURCHILL FARMS,43,14.31,0,0.3328
GOVERNORS POINT,43,14.84,0,0.3452
HARMONY PH2,43,11.91,0,0.277
KENSINGTON PH3 MP2,43,19.53,0,0.4543
MEADOWCREEK PH 2 MAP 1,43,7.28,0,0.1692
THE MILLS PH 3 MAP 2,43,8.33,0,0.1938
ADDISON PARK,42,6.88,0,0.1639
BROOKEDALE COMMONS PH 2 M 3,42,13.33,0,0.3174
CABARRUS NW WOOD,42,35.42,0,0.8433
DOMINION TRACE AT HIGHLAND CREEK PH 2 MAP 6,42,7.67,0,0.1827
GRANARY OAKS,42,12.02,0,0.2862
HARRISBURG VILLAGE PH1 MP3,42,3.64,0,0.0867
JACOB'S LANDING RESIDENTIAL TOWNHOMES PH 1,42,2.47,0,0.0588
QUEEN'S GATE,42,17.05,0,0.4059
SOUTHSIDE AT CANNON CROSSING MAP 1,42,11.32,0,0.2695
TRAMORE,42,25.39,0,0.6046
BELLEVUE,41,35.7,0,0.8708
CHRISTENBURY VILLAGE B PH 3 MAP 1,41,16.99,0,0.4144
LAUREL PARK SUB PHASE 4 MAP 2 SHEET 1,41,8.51,0,0.2077
SEDGEFIELD,41,14.24,0,0.3472
SHENANDOAH,41,55.59,0,1.3559
THE MILLS PH 6 MP 1,41,9.94,0,0.2425
CHURCHILL FARMS PH2,40,38.73,0,0.9682
"Lanstone Map1,2-Revised",40,10.64,0,0.266
LITCHFIELD VILLAGE PH 3 MAP 2,40,10.08,0,0.2519
LITCHFIELD VILLAGE S/D PH 1-MAP1,40,11.82,0,0.2955
OLDE COLONY,40,17.81,0,0.4453
SALEM CREEK,40,13.94,0,0.3485
THE MILLS PH2C MP2,40,9.57,0,0.2392
WINDING WALK PHASE 2 MAP 3,40,11.72,0,0.293
BEDFORD FARMS PH 1 MAP 2,39,21.03,0,0.5391
CHARTER OAKS,39,21.1,0,0.541
DALTON WOODS,39,5.95,0,0.1526
FRYLING PLACE,39,14.4,0,0.3693
GORDON HEIGHTS,39,12.41,0,0.3183
HOLCOMB WOODS PH1 MP6,39,11.99,0,0.3074
LAUREL PARK SUBDIVISION PH 5 MAP 1 SHEETS 1 & 2,39,18.96,0,0.486
THE MILLS PH 5B MAP 1,39,7.45,0,0.191
WINDING WALK PHASE 1 MAP 3,39,17.08,0,0.438
WINDSOR,39,19.62,0,0.5031
BEDFORD FARMS,38,12.0,0,0.3158
CAMBRIDGE COMMONS,38,6.77,0,0.1782
